a_au,e,i_deg,node_deg,peri_deg,mean_anomaly_deg
2.3444,0.0147,11.990,76.54,359.06,263.44
2.3444,0.0639,10.956,263.19,344.44,328.88
2.3444,0.0866,10.902,215.93,69.27,215.61
2.3445,0.0147,8.434,103.87,285.83,157.53
2.3445,0.1345,6.637,262.10,7.88,67.37
2.3447,0.1006,4.307,238.44,318.50,82.43
2.3448,0.1672,2.296,267.73,15.62,2.74
2.3448,0.0495,14.308,229.82,196.19,158.55
2.3452,0.1119,11.473,59.20,181.30,231.02
2.3452,0.3194,12.020,248.49,10.78,9.58
2.3452,0.0782,13.635,325.81,333.71,319.74
2.3454,0.0643,17.619,325.01,74.20,65.72
2.3455,0.2196,25.013,190.87,219.38,206.16
2.3455,0.0442,12.722,302.24,140.73,41.37
2.3455,0.0196,11.553,120.87,16.73,152.67
2.3455,0.0235,10.464,40.39,95.59,186.39
2.3456,0.0912,9.769,73.80,328.47,166.01
2.3456,0.1572,28.617,278.41,343.92,315.93
2.3456,0.0936,7.254,242.13,40.60,275.13
2.3457,0.1318,6.910,274.07,115.43,70.97
2.3465,0.0821,19.421,53.32,46.39,77.69
2.3469,0.0415,12.449,79.89,312.77,268.57
2.3472,0.1548,9.242,41.37,303.72,328.08
2.3473,0.0279,6.127,89.89,79.99,168.12
2.3475,0.2016,10.105,32.35,259.11,172.09
2.3475,0.2265,4.016,194.66,61.14,260.08
2.3479,0.0728,0.969,306.60,281.49,203.71
2.3480,0.1263,2.335,228.60,102.79,269.55
2.3481,0.1506,7.367,342.15,201.28,167.27
2.3481,0.1586,9.030,154.58,89.21,249.57
2.3485,0.1462,13.967,219.58,219.05,242.79
2.3487,0.1844,9.951,218.32,197.21,142.80
2.3487,0.1130,17.185,49.58,29.44,175.42
2.3488,0.0589,16.086,189.09,57.17,200.20
2.3490,0.0562,14.806,116.08,50.15,104.43
2.3491,0.2498,5.358,260.59,38.83,116.25
2.3491,0.1134,12.459,257.49,173.36,195.87
2.3493,0.1963,9.876,283.50,293.26,311.09
2.3493,0.0670,10.703,312.34,211.55,227.10
2.3500,0.1337,6.252,228.57,174.19,212.38
2.3501,0.0319,13.945,194.80,24.72,67.68
2.3502,0.0134,20.178,312.55,195.15,102.66
2.3506,0.0368,10.658,276.61,147.03,3.69
2.3506,0.0709,28.452,359.89,248.79,40.52
2.3506,0.0734,8.122,17.25,234.39,174.53
2.3507,0.2900,7.997,137.26,324.38,123.43
2.3508,0.1666,14.577,249.91,154.81,101.74
2.3508,0.1522,19.622,173.69,318.14,0.93
2.3509,0.0595,8.823,358.82,218.28,98.83
2.3510,0.0845,17.258,323.85,281.34,194.89
2.3511,0.1720,5.039,318.11,167.81,323.30
2.3513,0.0063,5.355,193.82,185.32,89.25
2.3514,0.2544,10.309,289.18,268.84,7.42
2.3516,0.0857,19.034,304.27,107.31,43.53
2.3517,0.0544,4.956,158.53,111.05,99.79
2.3519,0.0405,7.257,194.16,14.27,289.81
2.3523,0.1749,6.197,150.79,165.51,292.34
2.3525,0.1935,4.195,181.36,104.65,156.33
2.3527,0.1272,27.481,154.93,312.05,139.73
2.3527,0.1684,2.347,4.13,194.69,301.95
2.3528,0.0666,8.217,243.03,280.94,227.30
2.3529,0.0521,4.725,239.23,94.19,55.37
2.3530,0.1321,10.338,141.42,8.35,194.51
2.3531,0.0508,12.900,87.67,230.81,1.91
2.3531,0.2342,5.966,37.87,264.03,322.28
2.3531,0.0503,10.137,277.64,335.74,153.34
2.3531,0.1493,20.710,187.46,106.99,333.38
2.3532,0.0408,4.988,145.66,247.94,262.33
2.3536,0.0246,5.068,341.90,187.16,184.78
2.3537,0.0443,6.966,153.29,228.62,32.84
2.3538,0.0582,6.117,290.40,259.85,238.86
2.3541,0.1318,17.837,85.76,347.27,225.18
2.3542,0.1446,8.136,132.49,116.43,335.56
2.3542,0.1533,8.259,133.76,277.71,84.74
2.3543,0.0927,12.803,248.35,112.20,46.60
2.3543,0.0556,2.678,59.29,54.85,355.01
2.3544,0.0512,10.191,307.12,95.95,330.14
2.3545,0.1239,2.555,233.79,277.90,43.11
2.3545,0.0583,11.139,148.40,142.75,255.00
2.3545,0.0905,9.465,233.01,331.00,145.13
2.3545,0.0403,12.511,270.73,38.74,171.29
2.3546,0.1401,3.724,116.60,216.16,167.76
2.3547,0.1820,5.216,213.02,166.41,4.88
2.3548,0.1463,6.271,219.90,224.36,101.21
2.3549,0.1965,3.696,259.55,4.40,350.65
2.3549,0.1060,2.147,64.02,220.21,202.58
2.3550,0.1886,16.110,203.78,43.49,292.80
2.3550,0.1063,15.792,30.92,79.95,28.07
2.3552,0.1373,9.182,261.40,186.31,243.68
2.3553,0.1650,8.107,77.51,83.58,71.62
2.3555,0.1583,12.625,277.20,5.22,272.65
2.3558,0.0721,20.442,249.11,182.24,266.95
2.3559,0.0871,7.766,147.60,78.97,51.00
2.3564,0.0915,8.540,203.23,254.18,339.51
2.3569,0.0894,5.798,313.96,187.96,198.12
2.3569,0.0938,14.857,153.58,29.62,302.77
2.3570,0.0387,8.603,106.37,226.39,288.55
2.3570,0.1009,14.939,29.90,142.86,192.08
2.3571,0.1653,10.477,140.96,172.71,258.08
2.3573,0.1747,9.511,299.11,91.40,344.38
2.3577,0.1054,1.864,344.92,160.87,359.00
2.3578,0.3489,5.544,9.40,100.35,305.44
2.3578,0.1760,5.178,305.49,46.20,38.67
2.3578,0.1980,11.985,226.44,116.01,13.88
2.3579,0.1342,8.041,227.44,240.84,275.49
2.3581,0.0949,11.454,99.76,28.57,159.56
2.3582,0.1089,14.996,354.18,172.17,239.75
2.3586,0.1551,6.871,241.00,119.62,138.14
2.3586,0.0925,10.908,105.24,138.20,352.75
2.3586,0.2432,3.912,88.20,110.64,125.83
2.3592,0.2084,11.492,305.38,44.62,108.95
2.3594,0.0920,18.745,339.53,208.09,124.22
2.3594,0.1198,9.471,306.73,222.07,80.58
2.3597,0.1394,4.024,30.46,329.45,27.12
2.3598,0.0941,5.844,29.85,90.00,292.16
2.3598,0.1508,5.838,37.71,222.27,79.71
2.3600,0.0877,8.633,270.55,32.90,183.28
2.3601,0.1047,22.563,163.28,159.35,196.50
2.3603,0.1004,14.238,89.00,340.88,35.26
2.3605,0.0217,5.598,174.17,28.94,180.17
2.3606,0.1033,8.896,29.73,265.35,276.69
2.3606,0.1783,7.955,88.93,301.02,171.05
2.3606,0.0571,11.563,78.19,26.87,169.98
2.3606,0.0702,9.803,67.39,320.09,48.75
2.3608,0.1085,3.123,72.55,30.02,55.61
2.3609,0.1231,8.665,50.39,277.19,188.73
2.3610,0.2532,14.701,65.41,78.63,219.43
2.3611,0.2428,19.634,309.22,324.89,186.65
2.3611,0.0906,6.442,183.09,150.19,241.55
2.3613,0.1153,2.677,154.75,352.36,321.79
2.3613,0.0069,5.646,264.68,143.92,153.87
2.3618,0.1175,12.059,43.97,41.06,229.78
2.3625,0.1351,10.158,358.84,144.59,166.66
2.3626,0.0487,4.005,147.56,192.48,273.63
2.3628,0.1794,17.602,328.20,73.92,205.15
2.3630,0.0670,14.093,93.74,175.64,54.36
2.3630,0.1772,14.372,167.00,190.60,64.16
2.3631,0.0434,8.088,319.12,218.46,326.12
2.3632,0.0362,8.557,205.60,47.47,317.89
2.3632,0.1401,9.942,205.23,339.35,342.12
2.3633,0.1573,4.713,260.98,59.06,150.93
2.3633,0.1234,18.621,251.40,22.70,20.41
2.3633,0.1814,20.314,111.42,315.68,76.23
2.3634,0.1491,13.864,270.49,196.97,241.27
2.3635,0.1106,18.208,266.98,28.63,113.90
2.3636,0.0962,14.711,223.30,165.37,253.52
2.3639,0.0882,7.221,91.34,247.27,334.42
2.3639,0.0538,14.640,218.34,245.18,134.83
2.3639,0.1629,1.507,73.21,8.34,320.39
2.3641,0.0996,8.268,159.37,180.10,26.73
2.3641,0.0746,16.299,226.68,163.18,81.88
2.3644,0.0313,13.752,355.59,215.52,118.24
2.3645,0.2862,8.383,233.60,102.19,36.24
2.3654,0.1086,8.222,19.33,342.95,336.50
2.3654,0.0951,11.162,180.82,339.42,37.34
2.3655,0.0789,3.722,132.32,211.08,231.83
2.3657,0.2030,3.888,64.53,19.60,125.39
2.3658,0.1064,8.828,159.28,319.22,128.68
2.3658,0.1257,14.141,176.11,156.37,146.05
2.3659,0.1316,10.164,115.27,29.15,193.11
2.3659,0.1522,2.045,220.66,228.34,189.66
2.3663,0.1078,15.255,358.67,41.93,47.51
2.3666,0.0706,4.662,80.44,302.88,40.70
2.3666,0.2063,19.075,320.19,340.61,349.40
2.3667,0.1379,2.699,217.18,138.12,89.94
2.3668,0.0189,19.740,295.22,139.64,96.59
2.3674,0.1949,10.955,44.65,339.07,347.59
2.3675,0.0747,5.853,232.11,192.49,31.11
2.3676,0.2486,13.865,58.01,161.49,48.01
2.3679,0.1730,6.417,342.63,204.96,221.02
2.3681,0.2309,12.757,283.75,343.87,231.57
2.3684,0.0486,0.667,6.56,37.18,95.67
2.3685,0.1768,7.165,22.34,171.82,104.97
2.3687,0.0329,6.538,262.60,145.00,235.54
2.3688,0.1333,5.010,196.98,84.31,285.37
2.3689,0.1070,14.114,63.66,286.47,306.39
2.3689,0.0107,14.915,96.81,116.76,156.16
2.3690,0.0572,7.647,351.37,6.21,301.80
2.3690,0.1668,26.996,340.56,21.99,271.14
2.3691,0.0408,13.228,132.55,299.86,356.85
2.3692,0.0944,3.625,219.90,91.90,118.08
2.3692,0.1679,20.042,128.73,156.75,315.08
2.3693,0.1568,11.178,273.58,194.74,158.86
2.3693,0.2408,15.157,69.97,327.57,93.56
2.3694,0.1208,1.925,196.74,147.19,238.64
2.3694,0.1162,3.494,165.94,37.11,158.15
2.3694,0.1687,4.350,323.64,40.09,345.44
2.3694,0.1683,12.691,228.02,121.59,331.87
2.3694,0.0193,4.718,278.75,281.55,49.64
2.3696,0.0543,14.139,233.08,143.04,342.42
2.3697,0.1768,7.125,176.94,263.84,55.39
2.3698,0.1482,12.527,98.22,194.34,279.31
2.3698,0.0142,17.035,122.78,95.53,144.54
2.3698,0.1321,12.620,270.40,95.48,173.62
2.3700,0.2335,7.611,210.17,235.23,234.35
2.3702,0.2139,12.330,225.38,113.25,263.03
2.3703,0.0700,10.566,159.63,150.00,304.07
2.3703,0.2086,4.077,227.75,146.04,132.99
2.3703,0.0606,8.685,125.19,3.92,256.84
2.3705,0.0867,5.414,277.95,212.73,92.64
2.3707,0.1233,1.116,319.46,353.73,308.51
2.3709,0.0908,14.938,354.88,115.56,183.35
2.3711,0.0458,1.537,93.96,3.03,220.07
2.3711,0.1669,5.261,192.89,96.31,166.36
2.3719,0.1110,9.874,120.07,244.43,326.84
2.3719,0.2255,22.037,323.63,267.33,23.91
2.3719,0.0969,21.818,6.83,208.06,249.13
2.3720,0.2209,10.375,253.00,274.67,199.03
2.3720,0.1999,6.582,164.93,319.74,246.98
2.3721,0.1788,3.734,251.89,106.43,58.18
2.3723,0.1736,5.813,277.71,119.19,85.91
2.3726,0.0756,3.006,99.52,57.13,246.70
2.3727,0.1705,9.808,144.90,57.78,285.88
2.3732,0.3118,2.752,271.94,100.59,235.60
2.3733,0.1362,10.528,323.34,309.58,171.42
2.3736,0.1158,21.035,262.93,212.59,343.60
2.3736,0.1090,12.991,254.39,125.06,300.95
2.3738,0.1002,16.708,195.91,326.26,163.11
2.3739,0.1703,27.741,231.79,100.82,40.06
2.3739,0.0472,13.817,266.81,233.43,113.74
2.3742,0.1512,2.539,197.68,157.67,53.46
2.3743,0.1687,14.005,113.68,91.61,53.06
2.3744,0.1844,2.504,3.30,27.29,304.01
2.3744,0.1147,13.629,238.00,236.39,224.46
2.3744,0.1040,5.550,108.19,353.56,107.47
2.3744,0.1783,12.419,82.27,283.56,353.91
2.3745,0.1712,3.594,53.18,300.82,296.10
2.3747,0.1401,6.197,338.30,129.06,163.00
2.3750,0.2388,14.425,54.17,294.64,305.80
2.3753,0.1207,18.701,15.87,52.58,6.40
2.3753,0.1941,21.057,178.16,39.80,104.52
2.3754,0.0709,12.022,31.22,68.55,301.80
2.3755,0.1924,13.168,239.84,205.85,317.48
2.3756,0.0978,9.049,229.90,134.77,297.73
2.3757,0.2081,8.356,79.87,164.39,340.82
2.3757,0.1057,5.184,82.18,8.27,193.50
2.3758,0.0736,9.446,180.98,120.47,339.31
2.3761,0.0918,9.908,346.84,100.02,237.34
2.3765,0.1242,4.949,23.28,13.18,42.71
2.3766,0.0786,19.249,140.87,147.74,198.83
2.3766,0.0612,10.398,311.08,287.39,84.46
2.3768,0.1051,20.760,84.90,236.83,261.37
2.3769,0.0689,8.127,101.56,341.39,320.03
2.3770,0.0468,7.694,106.24,169.26,305.13
2.3773,0.2820,17.958,257.22,57.24,253.38
2.3775,0.2576,5.075,66.32,323.53,150.35
2.3777,0.2692,6.854,287.53,37.19,220.34
2.3779,0.1297,10.288,355.62,309.70,43.56
2.3780,0.1815,4.268,315.05,121.01,0.64
2.3782,0.1979,11.259,142.04,335.08,175.37
2.3782,0.3266,22.670,57.68,264.87,350.00
2.3783,0.1527,8.597,237.62,125.69,243.25
2.3784,0.1480,10.693,121.23,265.37,141.95
2.3784,0.1817,12.071,57.08,319.73,95.11
2.3785,0.1088,7.509,93.98,313.02,66.09
2.3786,0.1502,8.651,44.43,69.91,123.13
2.3787,0.0305,10.535,180.35,305.80,26.16
2.3789,0.3380,13.153,100.92,299.96,159.45
2.3789,0.1605,6.803,13.07,195.65,70.73
2.3790,0.1848,8.396,283.93,46.95,107.73
2.3793,0.1000,4.381,49.72,210.76,151.05
2.3793,0.1541,2.656,105.34,26.82,110.33
2.3798,0.1762,9.968,172.36,185.37,84.61
2.3800,0.1667,12.573,252.95,350.02,46.41
2.3801,0.1274,8.034,68.03,105.26,134.10
2.3803,0.0470,14.790,69.74,105.80,15.47
2.3805,0.1260,11.199,93.61,83.37,269.62
2.3806,0.0195,5.893,310.58,54.92,143.20
2.3807,0.0684,13.469,350.59,153.68,317.03
2.3807,0.2274,12.955,71.50,284.87,119.18
2.3808,0.0904,12.356,59.31,286.63,293.13
2.3809,0.1151,15.848,196.56,41.00,102.47
2.3810,0.2209,2.523,30.51,294.31,243.64
2.3812,0.1155,6.111,71.34,279.35,326.84
2.3812,0.1927,10.639,347.78,215.46,357.30
2.3814,0.1249,13.776,62.13,105.47,217.02
2.3814,0.0659,13.728,336.22,140.59,151.97
2.3815,0.0689,6.651,87.04,300.34,150.41
2.3815,0.0890,7.977,123.57,353.17,154.35
2.3816,0.0134,11.382,119.08,105.59,21.90
2.3818,0.2316,5.771,225.18,284.26,98.80
2.3820,0.0731,5.716,322.47,45.53,66.85
2.3823,0.0785,15.236,315.47,240.85,340.16
2.3823,0.0884,6.863,37.00,157.64,161.62
2.3824,0.0512,11.065,14.49,311.31,127.19
2.3824,0.1482,12.423,108.27,24.58,23.41
2.3833,0.1199,12.275,165.28,317.20,53.48
2.3834,0.2224,8.985,134.06,286.50,237.50
2.3836,0.1837,9.067,116.14,0.78,329.27
2.3836,0.1719,8.227,13.11,108.17,127.54
2.3837,0.0687,12.358,29.56,101.39,74.21
2.3837,0.1240,4.516,208.95,218.97,166.04
2.3839,0.1688,5.507,140.13,148.59,270.95
2.3841,0.3277,18.337,232.59,237.92,146.41
2.3842,0.1013,19.122,289.59,39.45,73.80
2.3843,0.2331,13.284,210.79,164.48,306.14
2.3846,0.1327,11.663,106.07,330.34,197.11
2.3847,0.3200,9.548,83.35,192.34,353.53
2.3848,0.1497,9.062,62.55,120.54,90.95
2.3848,0.1165,10.268,150.24,347.89,33.54
2.3848,0.1225,1.939,310.65,14.81,350.75
2.3848,0.2144,12.001,18.00,326.20,255.48
2.3850,0.1144,7.785,174.61,189.21,324.17
2.3850,0.0234,3.179,277.25,128.77,111.34
2.3852,0.2629,4.754,86.50,129.63,239.77
2.3853,0.0644,10.173,235.52,145.78,249.37
2.3855,0.1585,12.487,119.26,186.25,15.52
2.3855,0.0654,1.251,134.58,11.59,359.34
2.3857,0.0630,7.111,38.20,349.57,142.01
2.3858,0.0207,12.270,65.24,33.90,20.60
2.3858,0.1561,15.413,21.34,205.58,28.52
2.3859,0.1814,3.502,319.15,159.66,291.55
2.3859,0.2782,14.958,171.41,2.67,316.22
2.3860,0.0999,23.618,158.81,47.65,2.99
2.3861,0.1702,9.159,216.90,54.76,1.54
2.3862,0.1409,9.621,149.13,220.49,302.03
2.3863,0.1766,8.335,298.96,231.65,306.35
2.3863,0.2148,2.949,28.99,14.40,199.86
2.3864,0.2526,13.743,227.57,314.02,230.31
2.3866,0.0776,13.192,275.50,183.59,99.19
2.3866,0.1202,4.856,187.69,31.81,86.55
2.3866,0.0848,14.070,56.27,71.33,142.91
2.3867,0.0896,7.669,186.20,92.19,350.76
2.3868,0.1342,8.166,343.56,65.68,171.12
2.3870,0.0889,16.982,193.06,147.54,102.71
2.3871,0.0240,10.727,115.07,270.13,329.12
2.3873,0.1892,18.981,58.67,213.87,276.86
2.3874,0.1489,9.559,286.29,132.62,82.05
2.3874,0.0762,7.660,104.27,9.33,109.26
2.3875,0.1768,6.395,10.49,80.98,187.98
2.3875,0.2610,14.240,15.44,192.53,305.84
2.3876,0.1953,18.399,239.33,287.95,287.61
2.3876,0.0691,9.107,39.57,253.80,319.30
2.3876,0.1399,7.605,6.22,185.96,62.66
2.3878,0.1936,16.944,182.59,304.53,127.43
2.3880,0.0943,21.472,97.65,33.06,36.42
2.3885,0.1270,5.187,50.44,213.72,277.69
2.3887,0.2050,20.243,86.17,261.40,232.11
2.3890,0.1064,8.002,106.45,68.31,132.23
2.3892,0.2295,15.686,265.01,350.53,301.30
2.3894,0.0960,9.587,227.74,180.69,286.05
2.3894,0.0369,3.557,316.06,216.92,139.22
2.3895,0.0534,7.726,346.96,152.79,140.07
2.3898,0.0642,12.479,98.74,332.83,66.13
2.3898,0.1211,10.906,224.31,175.58,120.67
2.3900,0.1507,8.736,294.56,120.06,228.25
2.3900,0.1139,7.089,166.31,115.01,110.35
2.3902,0.0873,8.688,253.82,75.62,115.18
2.3903,0.1661,22.233,331.92,72.28,130.03
2.3904,0.1877,14.563,290.17,270.22,48.57
2.3904,0.0380,11.692,139.08,181.13,9.52
2.3905,0.0359,12.698,205.11,29.56,294.14
2.3907,0.2406,12.241,351.50,76.73,285.01
2.3908,0.0576,5.638,136.63,356.11,303.49
2.3913,0.1061,3.997,16.38,216.73,284.84
2.3913,0.1060,8.485,93.46,145.95,64.94
2.3914,0.1270,12.257,85.77,101.80,321.89
2.3915,0.0809,6.386,298.61,156.48,238.88
2.3917,0.1068,3.644,89.94,231.83,242.84
2.3917,0.2460,21.096,234.64,204.54,148.98
2.3919,0.1496,9.663,63.17,271.92,237.47
2.3921,0.0742,7.507,214.56,98.06,344.33
2.3924,0.1735,4.631,80.44,58.69,143.22
2.3924,0.1448,9.860,39.93,113.35,36.84
2.3925,0.2614,14.299,64.99,57.36,355.62
2.3926,0.0450,6.394,337.55,50.23,180.92
2.3926,0.0512,9.996,150.40,137.90,238.50
2.3927,0.1087,9.405,145.98,336.04,56.37
2.3928,0.1985,20.716,75.96,155.31,161.84
2.3931,0.1682,10.126,262.41,212.16,296.00
2.3935,0.1019,9.035,342.35,12.91,240.84
2.3938,0.1628,6.636,341.57,302.32,87.60
2.3939,0.1167,13.078,173.13,351.31,233.88
2.3942,0.0320,10.463,255.41,156.78,302.00
2.3943,0.2368,4.459,252.04,181.47,27.97
2.3945,0.3273,22.936,196.17,170.19,137.92
2.3948,0.2428,2.425,222.87,353.02,330.48
2.3949,0.0456,16.070,161.33,192.89,116.58
2.3951,0.0437,9.246,295.12,2.68,358.94
2.3955,0.0705,14.750,13.48,229.98,138.35
2.3957,0.1759,4.865,38.79,288.30,285.72
2.3961,0.1824,14.626,95.73,103.82,28.99
2.3961,0.2598,15.808,122.76,202.31,341.63
2.3963,0.1731,10.532,249.59,182.14,41.03
2.3965,0.1558,10.447,40.35,215.75,276.42
2.3966,0.2543,13.430,339.67,80.28,84.35
2.3968,0.0370,11.557,137.22,349.25,205.42
2.3969,0.0292,9.742,267.11,236.64,90.95
2.3971,0.0946,17.678,152.59,101.77,28.54
2.3972,0.1539,1.442,13.88,336.56,252.89
2.3973,0.1246,23.236,288.30,168.12,198.65
2.3975,0.0775,10.464,134.99,355.15,22.26
2.3976,0.2908,12.194,183.04,36.21,21.31
2.3979,0.0387,8.463,263.18,177.12,43.19
2.3981,0.1320,2.292,146.28,57.26,23.10
2.3985,0.1299,12.693,106.62,330.47,48.94
2.3985,0.1002,11.322,309.55,2.68,264.17
2.3986,0.2440,9.851,117.44,164.61,283.14
2.3986,0.3066,3.226,143.49,70.99,64.45
2.3986,0.1089,14.590,262.60,299.93,201.22
2.3989,0.0939,5.294,149.56,78.77,167.64
2.3993,0.1387,16.850,356.22,206.41,47.11
2.3999,0.1630,8.625,103.19,51.54,124.82
2.3999,0.2726,9.164,203.92,237.94,346.12
2.3999,0.0882,11.762,95.27,208.15,99.07
2.4000,0.0166,17.312,165.73,80.67,218.85
2.4004,0.1808,6.784,274.53,219.43,257.21
2.4004,0.1143,10.707,201.10,350.69,280.38
2.4005,0.1309,19.350,239.65,231.06,23.78
2.4007,0.1151,23.302,57.99,84.71,196.57
2.4009,0.1901,2.984,8.30,263.36,102.62
2.4010,0.1125,7.261,32.71,325.63,13.41
2.4010,0.1569,4.683,114.03,101.80,253.10
2.4010,0.0895,2.796,239.27,92.63,151.62
2.4012,0.0577,5.403,191.60,134.01,321.21
2.4013,0.0374,6.130,358.09,305.06,307.25
2.4015,0.1543,13.514,134.00,303.22,81.04
2.4017,0.1065,6.256,281.93,222.39,234.77
2.4018,0.1140,1.659,216.34,331.14,64.61
2.4018,0.0958,4.168,20.29,234.44,256.96
2.4019,0.1679,7.813,256.18,216.43,12.24
2.4023,0.1147,20.369,111.82,76.83,270.20
2.4024,0.2276,7.413,34.80,188.76,250.83
2.4027,0.0687,5.133,192.41,334.33,93.58
2.4030,0.1656,13.059,292.11,173.20,116.83
2.4031,0.1280,6.490,187.83,251.58,139.45
2.4034,0.1751,12.610,276.14,347.23,264.39
2.4036,0.0536,8.648,263.48,268.43,170.87
2.4041,0.0681,6.105,2.11,182.75,89.42
2.4044,0.1492,3.870,300.00,313.76,160.29
2.4044,0.1749,8.214,125.33,164.19,357.78
2.4044,0.1543,13.529,354.50,62.13,214.70
2.4048,0.1082,4.646,358.67,259.14,196.53
2.4048,0.0453,9.927,199.05,46.19,32.20
2.4049,0.1503,10.409,68.67,155.52,71.80
2.4050,0.0562,1.580,126.35,309.19,106.19
2.4053,0.0491,4.377,295.05,150.84,194.29
2.4055,0.2459,8.770,280.53,13.28,121.24
2.4055,0.1820,13.548,50.32,245.58,249.34
2.4057,0.1135,1.522,246.89,285.71,270.04
2.4058,0.1469,7.429,63.48,297.96,88.35
2.4058,0.0952,10.472,166.89,100.83,216.65
2.4060,0.1141,9.859,206.46,219.04,238.07
2.4061,0.2682,7.278,0.26,206.40,302.74
2.4061,0.0233,16.886,215.19,49.47,232.18
2.4062,0.1857,15.280,250.93,1.69,188.30
2.4063,0.0979,11.979,128.31,248.55,331.45
2.4070,0.0765,9.691,309.78,323.55,297.71
2.4071,0.2169,10.484,84.31,55.84,79.82
2.4072,0.0588,18.467,203.55,17.39,249.08
2.4072,0.1545,12.819,61.45,14.26,224.14
2.4074,0.2838,6.434,249.88,245.86,250.48
2.4074,0.2178,9.771,274.28,25.01,352.28
2.4075,0.1256,2.943,180.60,209.32,227.10
2.4075,0.0315,15.563,218.28,24.78,161.76
2.4076,0.1133,3.683,295.89,79.50,50.64
2.4076,0.0665,3.781,223.18,125.94,139.89
2.4077,0.0824,5.322,80.65,135.15,157.91
2.4078,0.0879,8.056,246.68,341.13,108.22
2.4080,0.2923,16.707,10.25,100.90,22.83
2.4080,0.1271,17.414,171.58,178.57,348.66
2.4080,0.1286,7.494,95.11,158.78,282.26
2.4081,0.0602,9.757,87.93,271.87,62.65
2.4083,0.0731,20.622,267.68,184.80,283.89
2.4084,0.1329,2.308,117.35,332.84,325.02
2.4085,0.0474,12.637,289.09,31.87,216.68
2.4086,0.0447,14.815,333.46,150.43,235.04
2.4088,0.1716,12.674,336.76,359.81,145.95
2.4089,0.1634,4.763,27.59,98.42,283.47
2.4090,0.2653,16.164,147.29,234.88,177.14
2.4092,0.0536,16.319,323.93,42.59,213.87
2.4093,0.1119,13.834,358.64,103.25,57.42
2.4093,0.0568,20.904,305.90,183.62,128.14
2.4094,0.1062,8.353,206.41,300.40,222.61
2.4094,0.0927,6.532,65.95,359.41,141.57
2.4096,0.0989,13.175,229.42,302.66,126.68
2.4097,0.1236,7.587,98.83,247.37,250.89
2.4098,0.0796,6.879,167.60,208.23,208.93
2.4098,0.1570,15.055,217.14,9.25,352.38
2.4102,0.0356,12.291,212.14,350.15,54.56
2.4102,0.0943,3.891,338.01,149.64,175.94
2.4103,0.2103,9.932,175.86,165.79,49.15
2.4105,0.1172,6.766,24.60,90.19,25.46
2.4105,0.1173,3.787,169.78,209.43,104.10
2.4105,0.1369,8.630,216.81,245.12,72.24
2.4108,0.0732,7.620,187.98,275.10,353.87
2.4108,0.0827,22.934,329.98,129.54,83.09
2.4109,0.1766,5.400,78.15,208.49,259.29
2.4109,0.0653,7.490,86.55,345.09,202.28
2.4111,0.1362,14.191,352.01,46.23,339.85
2.4111,0.1455,12.002,148.25,291.09,124.92
2.4112,0.1887,11.001,21.82,300.74,303.97
2.4112,0.1584,15.336,347.02,117.89,276.75
2.4112,0.1243,8.491,242.52,334.72,286.94
2.4115,0.0249,9.303,136.50,93.28,271.61
2.4117,0.1673,5.651,162.75,242.94,142.23
2.4117,0.1838,23.465,43.76,210.04,216.85
2.4119,0.0900,8.852,45.17,92.17,262.73
2.4119,0.0478,0.147,245.80,135.24,358.22
2.4120,0.1537,25.570,70.61,33.92,90.76
2.4120,0.3419,5.769,341.36,84.18,190.23
2.4121,0.0670,13.243,90.27,341.46,17.73
2.4124,0.2645,14.161,167.60,295.82,128.49
2.4126,0.2699,8.337,279.71,116.22,227.64
2.4126,0.1182,11.832,165.16,35.93,189.71
2.4126,0.0188,23.657,105.38,86.00,124.25
2.4127,0.1506,8.392,198.02,95.24,351.20
2.4128,0.2482,9.835,14.57,348.32,244.34
2.4130,0.1735,9.671,185.48,58.47,336.38
2.4131,0.0659,4.903,8.28,344.81,256.49
2.4131,0.0059,11.226,170.83,346.86,127.08
2.4133,0.1242,12.530,246.32,79.89,98.07
2.4134,0.2464,5.649,17.56,230.68,203.37
2.4136,0.2102,12.224,106.08,283.56,214.92
2.4137,0.1481,6.162,218.29,54.36,306.02
2.4137,0.0722,5.368,132.01,1.38,291.66
2.4138,0.1596,6.156,70.18,170.47,120.76
2.4141,0.1584,15.328,157.43,13.82,32.47
2.4141,0.1061,8.135,275.75,76.93,302.83
2.4142,0.1428,6.993,45.57,41.69,125.17
2.4144,0.1266,14.079,150.27,338.07,60.54
2.4145,0.1763,11.207,11.10,333.16,176.21
2.4146,0.0806,15.650,249.18,209.00,323.39
2.4147,0.0496,7.618,177.42,13.49,130.12
2.4147,0.0685,19.404,341.87,70.19,304.06
2.4147,0.1526,11.236,359.37,201.06,327.69
2.4148,0.2170,7.493,113.72,90.28,133.19
2.4149,0.2052,2.873,259.81,72.77,294.34
2.4149,0.2182,8.144,96.46,128.07,184.68
2.4149,0.0657,13.408,357.46,221.30,254.39
2.4150,0.1550,4.593,142.02,303.36,7.80
2.4150,0.0328,3.161,133.95,129.43,6.72
2.4152,0.1018,11.325,252.70,13.11,277.68
2.4152,0.0486,19.842,318.15,91.17,15.51
2.4155,0.0573,16.118,238.60,91.60,147.95
2.4156,0.0974,19.025,316.65,76.34,307.64
2.4160,0.2280,31.450,242.85,88.06,73.72
